ClientId,CreditStatus
744731,Reprovado
708849,Reprovado
1997928,Ativo
2101315,Reprovado
3014073,Ativo
1634943,Ativo
1566808,Reprovado
347279,Ativo
1104380,Bloqueado
1508438,Bloqueado
964456,Reprovado
1082073,Reprovado
2208165,Ativo
2070928,Ativo
287450,Reprovado
1874491,Reprovado
1951375,Ativo
2218875,Ativo
1206918,Aprovado
1727227,Ativo
691405,Ativo
1078772,Reprovado
512977,Reprovado
1591798,Ativo
2022171,Ativo
3402880,Ativo
2127216,Ativo
720653,Ativo
2247851,Reprovado
1857590,Reprovado
3291961,Reprovado
1335094,Ativo
1640959,Bloqueado
1752452,Reprovado
1339567,Ativo
4454799,Reprovado
825887,Reprovado
1384523,Ativo
415274,Ativo
2555806,Ativo
1814502,Reprovado
4294934,Reprovado
896726,Ativo
757163,Reprovado
1142895,Ativo
314877,Ativo
1089393,Reprovado
1290406,Ativo
1185979,Ativo
2302021,Ativo
2009410,Ativo
1896719,Reprovado
1011459,Reprovado
418371,Reprovado
498838,Ativo
2267411,Ativo
2074240,Ativo
2608729,Ativo
725293,Reprovado
1648454,Ativo
2595550,Ativo
3514995,Ativo
3752775,Reprovado
596098,Reprovado
3908007,Ativo
1613761,Reprovado
2130992,Ativo
1896134,Ativo
2666814,Ativo
1863756,Reprovado
2825939,Ativo
709046,Ativo
1410205,Reprovado
374612,Ativo
1788838,Ativo
1897795,Bloqueado
4228858,Ativo
2725742,Ativo
1641195,Ativo
2244007,Reprovado
3270784,Ativo
1143320,Ativo
1750066,Ativo
2411010,Ativo
2747934,Ativo
164450,Reprovado
3149719,Reprovado
1144191,Reprovado
1830079,Ativo
2225177,Ativo
3051834,Ativo
2836745,Reprovado
1129569,Reprovado
2574393,Reprovado
3209033,Reprovado
3697387,Reprovado
4013344,Reprovado
1180706,Ativo
433165,Ativo
2648304,Reprovado
3346099,Ativo
2578377,Ativo
1171028,Ativo
1599915,Ativo
2605303,Ativo
368957,Ativo
3743433,Reprovado
684628,Ativo
1671803,Reprovado
315727,Ativo
2339214,Ativo
2533799,Reprovado
1126447,Ativo
246488,Reprovado
1466207,Reprovado
2915558,Bloqueado
1539672,Ativo
2931620,Bloqueado
1747179,Reprovado
505882,Reprovado
4419710,Reprovado
3903401,Reprovado
3348603,Bloqueado
1269775,Ativo
1600029,Ativo
1605530,Reprovado
1573250,Ativo
2529763,Ativo
2889100,Reprovado
1704317,Bloqueado
3388279,Ativo
1222461,Ativo
2244940,Ativo
368449,Reprovado
1773012,Ativo
754395,Ativo
985874,Ativo
2890033,Ativo
1439700,Ativo
2067277,Ativo
2353104,Ativo
1608020,Reprovado
1625425,Reprovado
1551307,Reprovado
1988093,Ativo
854324,Reprovado
3581568,Ativo
3711634,Reprovado
3767654,Reprovado
